"Email 1"
"Amazon AWS","amazon.com","hosting","AnschaffstBewegter",""
"Amazon","amazon.com","bezos",""Wettrü$tendesAbr0llendem","One of the largest online shopping websites in the world. The site is widely known for its wide selection of books, although the site has expanded to sell electronics, music, furniture, and apparel. Similar to eBay, users can also purchase and sell items using Amazon's online marketplace system. Amazon was founded in 1995 by Jeff Bezos and is based out of Seattle, Washington."
"xing.com - user","xing.com","user","PräsidierendesBeinhalteter",""
"magine.com - tv","magine.com","tv","GossamerAntiquity",""
"LinkedIn","linkedin.com","employee","EntwarfenSpleens",""
"Mixer Streaming","mixer.com","streaming","AnbeiGeehrtem","**Mixer** (formerly **Beam**) is a Seattle-based live streaming video platform owned by Microsoft. The service officially launched on January 5, 2016"
"Logitech","logitech.com","keyboard","S0mm3rb1umeAbgingeAbgedankter",""
"europcar.de - rental","europcar.de","rental","Kam31sTestete5tJägerin",""
"gamestar.de - reader","gamestar.de","reader","P0rti3rtetältesterErk1immtet",""
"YouTube","youtube.com","famous","DurchstreiftenEs",""
"Hertz Rental Cars","hertz.de","car","Frucht3ndAuffalleBei1egte5t",""
"Reddit","reddit.com","troll","Abg3nicktenZögernd5tAnmaß7en",""
"Alternate.de","alternate.de","buypc","RatenzahlungsvereinbarungenGewinnanteils",""
"apple.com - steve","apple.com","steve","KnacklautenArbeitsgericht",""
"Teamviewer","teamviewer.com","desktop","DemontagefallHerausgewagter",""
"The Guardian","theguardian.com","reader","Stofff@rb3At1a$",""
"IndieGoGo","indiegogo.com","supporter","ZweifelhaftesterUmhörende",""
"Media Markt","mediamarkt.de","shopping","Ansäg3ndZwickzangenPeil5igna1",""
"GoG","gog.com","games","SonderangebotesVerwandtesten",""
"Computerbase","computerbase.de","user123","V3rdünntemEr5chreck7Anhäufend",""
"Nextcloud","nextcloud.com","files","HumanistischerAngelgelegenheiten",""
"Heise","heise.de","ct","B3werfendesM0tzeAbwei5t",""
"Xiaomi Account (北京小米科技有限责任公司 )","xiaomi.com","user","Ang310genenGastgebernWandersmann",""
"Maxcluster Webshop Hosting","maxcluster.de","eshop","K@1kart!g3mTränkt","This is our webshop. ***!!! Important !!!***"
